dni; Apellido, Nombre; telefono; email; monto",
25.655.458;Gales Ernestina ;343 - 6425775; ernestina.g@gmail.com; 323,2
40 675 458;Herrera, Agustina; (343)6274575; agustina.s@gmail.com; 9000,2
2506458;Lorenzo, Jorgelina; 1161116127; jorgelina@gmail.com;  3232,2
2564058;Bushman, Jorgelina; 1161117127; jorgelinab@gmail.com; 1253,88
2506458;Menfis, Marciano Laureado; 1161117127; marcianito@gmail.com;9934,234
2706458;Yamamoto, Pedro ;1161117727 ; yama.que.yama@gmail.com;234,234
2106458;Mimoto, Mariano; 1161177127 ; mariano@gmail.com;234,234
3406454;Artigas, José Gervasio; 1161177127 ; mariano@yahoo.com.ar;234,234
4446452;Roca, Julio Argentino; 1161177127 ; roca@yahoo.com.ar; 2934,234
3506452;Perón, Juand Domingo; 1161177127 ; juanito@frp.org;234,234
